address,tag,balance,txn_count
0xbceaa0040764009fdcff407e82ad1f06465fd2c4,Bancor Hacker,0 Ether,3
0x03b70dc31abf9cf6c1cf80bfeeb322e8d3dbb4ca,Browser Extension Hack,0 Ether,64
0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de,Coinrail Hacker,"7,446.13401077 Ether",22
0xa7f72bf63edeca25636f0b13ec5135296ca2ebb2,DragonEx Hacker,0.00007803 Ether,"1,570"
0x944a3f5641d6faf7a6abde4ec31e40d0929955ed,FAKE: DaoCasino,0.00026476 Ether,19
0x8f95d25bd5ec1973b8cbcd9572a7287f03420ca7,Fake: Dfinity Token Sale,0 Ether,40
0x29d7d1dd5b6f9c864d9db560d72a247c178ae86b,Fake: Enigma Presale,0.17390964 Ether,221
0x0c9d1b3ca852c67bbeabeeb51e9482a845d56868,FAKE: FundYourselfNow,0 Ether,7
0x4073aa0f9885bbe59895a27158bbe865052678b8,Fake: Hack 137,75.61823179 Ether,2
0xd8ddfd63696127b18911546b13856cf98a246ff4,Fake: Hardfork,0 Ether,43
0xfbf6f29c126382cf15795bb209ee506a174cc709,Fake: Hero Token Sale,0 Ether,46
0x57b818a1070373e21fcedf48d4368e1703c75852,Fake: Hero Token Sale 2,0 Ether,2
0x4182d887fb4fba8cd49e9f50908c13c761080ec5,Fake: Hero Token Sale 3,0.0008135 Ether,4
0xc6df8e498facad626a82b7af3c9f5f9301e79fd6,FAKE: Insurex,0 Ether,0
0x905475cbca398e8fee6e35bcb2f530a3474b78ce,FAKE: OmiseGo,0 Ether,31
0xce52d38539e1e557f184f1073a59f69c9ba95f28,FAKE: Santiment Crowdsale,0 Ether,8
0xdb82af76f9ccddfe9e8f7996492f4c5bd5f9d53d,FAKE: Santiment Crowdsale 2,0.00874 Ether,7
0x122c7f492c51c247e293b0f996fa63de61474959,FAKE: Starbase Crowdsale,0.01614 Ether,33
0xe606ab862d5ab58783b0eedee0839a2b47927ce8,Fake: Starbase Token Sale,0 Ether,154
0xc9f32ce1127e44c51cbd182d6364f3d707fd0d47,FAKE: Status.im 1,0.020118 Ether,10
0x9327cb34984c3992ec1ea0eae98ccf80a74f95b9,FAKE: Status.im 2,0.009559 Ether,5
0x3018a3eab048a0a1c15003b383a181f089a039cc,FAKE: Status.im 3,0 Ether,1
0xa8454096f4a18e0252b411f670b3dd9d21465e75,FAKE: Status.im 4,0 Ether,11
0xbc85a12364c9e375801c00aad17b893fc4c8f5b6,FAKE: TenX,13 wei,17
0xaf70168cdac454fa9ff94e5458d450ae7eeb7ae8,FAKE: TenX 2,0 Ether,0
0x199eee5b6ca1aaf030c77f0b5c50e39908fd2072,FAKE: TenX 3,0.009698 Ether,4
0xed44fc770eaa76db9ade24d86ce3b409f4aed009,FAKE: TenX 4,0 Ether,0
0x285cfe87f4ad22228a625dcd1f64b2bc6b27ecff,FAKE: TenX 5,0 Ether,0
0xe112784753273ebede055968ecb78dcad8ff6da2,FAKE: TenX 6,0 Ether,2
